STN---,WBAN , YEARMODA,   TEMP, TEMP2 ,   DEWP, DEWP2 ,  SLP  , SLP2 ,  STP  , STP2 , VISIB, VISIB2 ,  WDSP,  WDSP2, MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT
726580,14922, 19910404,   59.6,24,   43.6,24, 1017.9,24,  987.3,24,  12.0,24,   8.2,24,  15.0, 999.9,   73.0*,  39.9 , 0.02G,999.9, 010000,
726580,14922, 19910405,   63.2,24,   38.3,24, 1013.0,24,  982.7,24,  14.9,24,   7.3,24,  14.0, 999.9,   80.1*,  48.9 , 0.00D,999.9, 000000,
726580,14922, 19910406,   68.9,24,   43.7,24, 1004.2,24,  974.4,24,  15.5,24,   8.2,24,  15.9,  22.9,   86.0*,  48.9 , 0.00G,999.9, 000000,
726580,14922, 19910407,   70.4,24,   48.9,24, 1001.8,24,  972.1,24,  13.4,24,   9.0,24,  14.0, 999.9,   86.0 ,  52.0 , 0.00G,999.9, 000000,
726580,14922, 19910408,   52.3,24,   38.8,24, 1006.4,24,  976.2,24,  13.8,24,  16.0,24,  22.0,  28.0,   79.0*,  39.9*, 0.01G,999.9, 110000,
726580,14922, 19910409,   35.4,24,   31.3,24, 1013.7,24,  982.6,24,   7.3,24,  14.7,24,  18.1,  29.9,   54.0 ,  34.0 , 0.02G,  0.4, 111000,
726580,14922, 19910410,   39.0,24,   23.8,24, 1021.0,24,  989.6,24,  14.0,24,   5.6,24,  17.1, 999.9,   54.0*,  21.9 , 0.03G,999.9, 001000,
726580,14922, 19910411,   44.0,24,   23.1,24, 1026.6,24,  995.4,24,  14.9,24,  12.8,24,  20.0,  26.0,   55.9 ,  39.0*, 0.00G,999.9, 000000,
726580,14922, 19910412,   37.8,24,   27.3,24, 1028.1,24,  996.6,24,   9.7,24,  15.6,24,  19.0,  27.0,   48.9 ,  33.1 , 0.17G,  1.2, 111000,
726580,14922, 19910413,   37.5,24,   33.3,24, 1022.0,24,  990.5,24,   8.3,24,  13.6,24,  18.1,  26.0,   45.0*,  33.1 , 0.96G,  0.4, 111000,
726580,14922, 19910414,   40.4,24,   37.8,24, 1013.1,24,  982.1,24,   6.7,24,   7.9,24,  12.0, 999.9,   45.0 ,  35.1 , 0.36G,999.9, 111000,
726580,14922, 19910415,   38.3,24,   33.2,24, 1009.8,24,  978.8,24,  10.4,24,   8.6,24,  22.0,  27.0,   46.0 ,  30.9 , 0.05G,999.9, 110000,
726580,14922, 19910416,   42.5,24,   33.4,24, 1015.8,24,  984.8,24,  14.0,24,   5.6,24,  10.1, 999.9,   54.0 ,  30.9 , 0.00D,999.9, 000000,
726580,14922, 19910417,   46.6,24,   33.1,24, 1021.3,24,  990.2,24,  12.0,24,   3.8,24,   8.9, 999.9,   62.1*,  32.0 , 0.00G,999.9, 000000,
726580,14922, 19910418,   50.4,24,   34.5,24, 1018.7,24,  987.9,24,  14.2,24,   6.8,24,  10.1, 999.9,   62.1 ,  32.0 , 0.00G,999.9, 010000,
726580,14922, 19910419,   45.5,24,   37.1,24, 1021.5,24,  990.4,24,  11.1,24,   6.8,24,  15.0,  15.9,   55.9*,  34.0 , 0.13G,999.9, 100000,
726580,14922, 19910420,   41.3,24,   23.7,24, 1025.6,24,  994.3,24,  17.0,24,   8.7,24,  14.0, 999.9,   57.9 ,  28.0 , 0.00G,999.9, 000000,
726580,14922, 19910421,   45.1,24,   22.3,24, 1020.2,24,  989.1,24,  19.7,24,   4.3,24,   8.0, 999.9,   59.0*,  28.0 , 0.00G,999.9, 000000,
726580,14922, 19910422,   48.3,24,   33.2,24, 1007.7,24,  977.1,24,  14.7,24,   7.5,24,  15.9,  20.0,   59.0 ,  30.9 , 0.00G,999.9, 010000,
726580,14922, 19910423,   44.6,24,   31.2,24, 1004.7,24,  974.1,24,  13.2,24,  11.1,24,  15.9,  22.0,   59.0*,  36.0 , 0.09G,999.9, 011000,
726580,14922, 19910424,   50.5,24,   32.0,24, 1014.1,24,  983.3,24,  15.1,24,   7.5,24,  14.0, 999.9,   66.0*,  30.9 , 0.01G,999.9, 000000,
726580,14922, 19910425,   58.3,24,   38.7,24, 1013.4,24,  983.0,24,  16.4,24,  11.6,24,  19.0,  22.0,   68.0*,  46.9*, 0.00G,999.9, 000000,
726580,14922, 19910426,   56.3,24,   43.0,24, 1010.1,24,  979.7,24,  12.0,24,  12.5,24,  20.0,  26.0,   69.1 ,  45.0 , 0.00G,999.9, 000000,
726580,14922, 19910427,   60.4,24,   48.8,24,  999.6,24,  969.7,24,  12.7,24,  16.3,24,  20.0,  28.9,   64.0 ,  48.0 , 0.30G,999.9, 110010,
726580,14922, 19910428,   59.9,24,   38.8,24, 1007.8,24,  977.5,24,  17.4,24,   9.7,24,  15.9, 999.9,   73.9*,  48.0 , 0.18G,999.9, 000000,
726580,14922, 19910429,   60.3,24,   50.8,24,  999.3,24,  969.4,24,  12.0,24,   8.3,24,  28.0,  35.0,   75.9 ,  48.0 , 0.53G,999.9, 110110,
726580,14922, 19910430,   46.8,24,   42.2,24,  996.1,24,  966.0,24,  11.0,24,  17.9,24,  24.1,  31.1,   64.0 ,  39.9*, 0.82G,999.9, 110000,
726580,14922, 19910501,   43.9,24,   34.7,24, 1010.1,24,  979.3,24,  18.6,24,  14.2,24,  17.1,  24.1,   50.0 ,  39.9 , 0.09G,999.9, 010000,
726580,14922, 19910502,   41.5,24,   30.6,24, 1017.4,24,  986.3,24,  16.4,24,  10.7,24,  17.1,  21.0,   48.9*,  36.0 , 0.00G,999.9, 000000,
726580,14922, 19910503,   45.6,24,   32.5,24, 1018.7,24,  987.7,24,  17.7,24,  11.1,24,  17.1, 999.9,   53.1*,  36.0 , 0.00G,999.9, 010000,
726580,14922, 19910504,   47.8,24,   44.4,24, 1016.5,24,  985.7,24,   5.7,24,   8.7,24,  14.0, 999.9,   54.0 ,  39.9 , 0.57G,999.9, 110000,
726580,14922, 19910505,   45.1,24,   43.8,24, 1014.7,24,  983.9,24,   3.5,24,   8.4,24,  12.0, 999.9,   53.1 ,  41.0 , 1.13G,999.9, 110000,
726580,14922, 19910506,   39.8,24,   35.8,24, 1010.0,24,  979.0,24,  10.2,24,  12.4,24,  17.1,  21.0,   48.9 ,  35.1 , 0.75G,999.9, 011000,
726580,14922, 19910507,   46.5,24,   35.8,24, 1019.2,24,  988.2,24,  15.7,24,   8.1,24,  11.1, 999.9,   57.9*,  37.0 , 0.03G,999.9, 010000,
726580,14922, 19910508,   48.5,24,   41.5,24, 1024.7,24,  993.7,24,  11.1,24,   8.4,24,  13.0, 999.9,   57.9 ,  39.9 , 0.00G,999.9, 110000,
726580,14922, 19910509,   55.4,24,   50.7,24, 1019.9,24,  989.1,24,   6.0,24,   9.4,24,  14.0, 999.9,   73.9*,  46.0 , 0.02G,999.9, 100000,
726580,14922, 19910510,   65.9,24,   56.8,24, 1020.3,24,  989.8,24,   9.0,24,  11.0,24,  17.1, 999.9,   73.9 ,  46.9 , 0.00G,999.9, 000000,
726580,14922, 19910511,   69.3,24,   60.1,24, 1020.1,24,  989.8,24,   6.6,24,   8.4,24,  14.0, 999.9,   80.1*,  55.9 , 0.00G,999.9, 100000,
726580,14922, 19910512,   72.9,24,   62.7,24, 1015.0,24,  984.9,24,   9.1,24,   7.3,24,  12.0, 999.9,   84.9*,  60.1 , 0.00G,999.9, 100000,
726580,14922, 19910513,   73.3,24,   56.6,24, 1010.7,24,  980.9,24,  13.5,24,   9.2,24,  22.0,  31.1,   86.0 ,  60.1 , 0.13G,999.9, 010010,
726580,14922, 19910514,   72.8,24,   48.4,24, 1010.4,24,  980.4,24,  18.1,24,   6.2,24,  15.0, 999.9,   88.0*,  54.0 , 0.00D,999.9, 000000,
726580,14922, 19910515,   70.9,24,   57.6,24, 1011.3,24,  981.4,24,  13.7,24,   7.9,24,  13.0, 999.9,   90.0 ,  54.0 , 0.10G,999.9, 010000,
726580,14922, 19910516,   70.1,24,   63.6,24, 1010.1,24,  980.1,24,   9.9,24,   5.8,24,  19.0,  25.1,   79.0*,  62.1 , 0.00D,999.9, 110010,
726580,14922, 19910517,   55.5,24,   50.6,24, 1016.2,24,  985.7,24,  11.5,24,  13.9,24,  22.9,  31.1,   80.1 ,  48.9 , 0.57G,999.9, 010010,
